PetalLength,PetalWidth,Probability
2.8,2.72222,0.988772
2.8,2.74747,0.989716
2.8,2.77273,0.990581
2.8,2.79798,0.991374
2.8,2.82323,0.992101
2.8,2.84848,0.992767
2.8,2.87374,0.993377
2.8,2.89899,0.993936
2.8,2.92424,0.994449
2.8,2.94949,0.994918
2.8,2.97475,0.995347
2.8,3,0.995741
2.84444,0.5,0.0339993
2.84444,0.525253,0.0370382
2.84444,0.550505,0.0403374
2.84444,0.575758,0.043917
2.84444,0.60101,0.0477985
2.84444,0.626263,0.0520044
2.84444,0.651515,0.0565584
2.84444,0.676768,0.0614853
2.84444,0.70202,0.066811
2.84444,0.727273,0.0725623
2.84444,0.752525,0.078767
2.84444,0.777778,0.0854533
2.84444,0.80303,0.0926501
2.84444,0.828283,0.100387
2.84444,0.853535,0.108692
2.84444,0.878788,0.117594
2.84444,0.90404,0.127121
2.84444,0.929293,0.1373
2.84444,0.954545,0.148156
2.84444,0.979798,0.159712
2.84444,1.00505,0.171986
2.84444,1.0303,0.184997
2.84444,1.05556,0.198755
2.84444,1.08081,0.213269
2.84444,1.10606,0.22854
2.84444,1.13131,0.244565
2.84444,1.15657,0.261333
2.84444,1.18182,0.278826
2.84444,1.20707,0.29702
2.84444,1.23232,0.31588
2.84444,1.25758,0.335367
2.84444,1.28283,0.355432
2.84444,1.30808,0.376017
2.84444,1.33333,0.397061
2.84444,1.35859,0.418492
2.84444,1.38384,0.440235
2.84444,1.40909,0.462211
2.84444,1.43434,0.484334
2.84444,1.4596,0.506518
2.84444,1.48485,0.528677
2.84444,1.5101,0.550724
2.84444,1.53535,0.572573
2.84444,1.56061,0.594143
2.84444,1.58586,0.615355
2.84444,1.61111,0.636137
2.84444,1.63636,0.656424
2.84444,1.66162,0.676155
2.84444,1.68687,0.69528
2.84444,1.71212,0.713753
2.84444,1.73737,0.731538
2.84444,1.76263,0.748608
2.84444,1.78788,0.764941
2.84444,1.81313,0.780524
2.84444,1.83838,0.79535
2.84444,1.86364,0.80942
2.84444,1.88889,0.822737
2.84444,1.91414,0.835314
2.84444,1.93939,0.847163
2.84444,1.96465,0.858305
2.84444,1.9899,0.868761
2.84444,2.01515,0.878554
2.84444,2.0404,0.887711
2.84444,2.06566,0.896259
2.84444,2.09091,0.904226
2.84444,2.11616,0.911642
2.84444,2.14141,0.918535
2.84444,2.16667,0.924935
2.84444,2.19192,0.93087
2.84444,2.21717,0.936368
2.84444,2.24242,0.941456
2.84444,2.26768,0.946161
2.84444,2.29293,0.950507
2.84444,2.31818,0.95452
2.84444,2.34343,0.958221
2.84444,2.36869,0.961634
2.84444,2.39394,0.964778
2.84444,2.41919,0.967672
2.84444,2.44444,0.970337
2.84444,2.4697,0.972788
2.84444,2.49495,0.975041
2.84444,2.5202,0.977113
2.84444,2.54545,0.979016
2.84444,2.57071,0.980764
2.84444,2.59596,0.982369
2.84444,2.62121,0.983842
2.84444,2.64646,0.985194
2.84444,2.67172,0.986435
2.84444,2.69697,0.987573
2.84444,2.72222,0.988616
2.84444,2.74747,0.989573
2.84444,2.77273,0.99045
2.84444,2.79798,0.991254
2.84444,2.82323,0.991991
2.84444,2.84848,0.992666
2.84444,2.87374,0.993285
2.84444,2.89899,0.993852
2.84444,2.92424,0.994371
2.84444,2.94949,0.994847
2.84444,2.97475,0.995282
2.84444,3,0.995681
2.88889,0.5,0.0335443
2.88889,0.525253,0.0365441
2.88889,0.550505,0.0398011
2.88889,0.575758,0.0433353
2.88889,0.60101,0.0471679
2.88889,0.626263,0.0513212
2.88889,0.651515,0.0558189
2.88889,0.676768,0.0606856
2.88889,0.70202,0.0659469
2.88889,0.727273,0.0716295
2.88889,0.752525,0.0777611
2.88889,0.777778,0.0843699
2.88889,0.80303,0.0914845
2.88889,0.828283,0.0991342
2.88889,0.853535,0.107348
2.88889,0.878788,0.116155
2.88889,0.90404,0.125582
2.88889,0.929293,0.135657
2.88889,0.954545,0.146405
2.88889,0.979798,0.157849
2.88889,1.00505,0.17001
2.88889,1.0303,0.182904
2.88889,1.05556,0.196544
2.88889,1.08081,0.210939
2.88889,1.10606,0.226091
2.88889,1.13131,0.241998
2.88889,1.15657,0.25865
2.88889,1.18182,0.276031
2.88889,1.20707,0.294117
2.88889,1.23232,0.312875
2.88889,1.25758,0.332266
2.88889,1.28283,0.352243
2.88889,1.30808,0.372751
2.88889,1.33333,0.393727
2.88889,1.35859,0.415103
2.88889,1.38384,0.436802
2.88889,1.40909,0.458747
2.88889,1.43434,0.480852
2.88889,1.4596,0.503033
2.88889,1.48485,0.525202
2.88889,1.5101,0.547271
2.88889,1.53535,0.569157
2.88889,1.56061,0.590776
2.88889,1.58586,0.612049
2.88889,1.61111,0.632904
2.88889,1.63636,0.653272
2.88889,1.66162,0.673095
2.88889,1.68687,0.692317
2.88889,1.71212,0.710895
2.88889,1.73737,0.728791
2.88889,1.76263,0.745975
2.88889,1.78788,0.762424
2.88889,1.81313,0.778126
2.88889,1.83838,0.793071
2.88889,1.86364,0.807259
2.88889,1.88889,0.820694
2.88889,1.91414,0.833386
2.88889,1.93939,0.845349
2.88889,1.96465,0.856601
2.88889,1.9899,0.867163
2.88889,2.01515,0.877058
2.88889,2.0404,0.886313
2.88889,2.06566,0.894955
2.88889,2.09091,0.903012
2.88889,2.11616,0.910512
2.88889,2.14141,0.917486
2.88889,2.16667,0.923961
2.88889,2.19192,0.929967
2.88889,2.21717,0.935532
2.88889,2.24242,0.940683
2.88889,2.26768,0.945446
2.88889,2.29293,0.949847
2.88889,2.31818,0.953911
2.88889,2.34343,0.95766
2.88889,2.36869,0.961116
2.88889,2.39394,0.964301
2.88889,2.41919,0.967233
2.88889,2.44444,0.969933
2.88889,2.4697,0.972416
2.88889,2.49495,0.9747
2.88889,2.5202,0.976799
2.88889,2.54545,0.978727
2.88889,2.57071,0.980499
2.88889,2.59596,0.982126
2.88889,2.62121,0.983619
2.88889,2.64646,0.984989
2.88889,2.67172,0.986247
2.88889,2.69697,0.9874
2.88889,2.72222,0.988458
2.88889,2.74747,0.989428
2.88889,2.77273,0.990317
2.88889,2.79798,0.991132
2.88889,2.82323,0.991879
2.88889,2.84848,0.992564
2.88889,2.87374,0.993191
2.88889,2.89899,0.993766
2.88889,2.92424,0.994292
2.88889,2.94949,0.994775
2.88889,2.97475,0.995216
2.88889,3,0.995621
2.93333,0.5,0.0330952
2.93333,0.525253,0.0360563
2.93333,0.550505,0.0392716
2.93333,0.575758,0.0427608
2.93333,0.60101,0.0465451
2.93333,0.626263,0.0506466
2.93333,0.651515,0.0550886
2.93333,0.676768,0.0598956
2.93333,0.70202,0.0650931
2.93333,0.727273,0.0707078
2.93333,0.752525,0.076767
2.93333,0.777778,0.0832989
2.93333,0.80303,0.0903322
2.93333,0.828283,0.0978959
2.93333,0.853535,0.106019
2.93333,0.878788,0.114731
2.93333,0.90404,0.124059
2.93333,0.929293,0.13403
2.93333,0.954545,0.144671
2.93333,0.979798,0.156005
2.93333,1.00505,0.168051
2.93333,1.0303,0.180829
2.93333,1.05556,0.194351
2.93333,1.08081,0.208627
2.93333,1.10606,0.223661
2.93333,1.13131,0.23945
2.93333,1.15657,0.255986
2.93333,1.18182,0.273253
2.93333,1.20707,0.29123
2.93333,1.23232,0.309885
2.93333,1.25758,0.32918
2.93333,1.28283,0.349068
2.93333,1.30808,0.369497
2.93333,1.33333,0.390404
2.93333,1.35859,0.411721
2.93333,1.38384,0.433375
2.93333,1.40909,0.455286
2.93333,1.43434,0.477372
2.93333,1.4596,0.499547
2.93333,1.48485,0.521723
2.93333,1.5101,0.543814
2.93333,1.53535,0.565734
2.93333,1.56061,0.5874
2.93333,1.58586,0.608733
2.93333,1.61111,0.629658
2.93333,1.63636,0.650107
2.93333,1.66162,0.670019
2.93333,1.68687,0.689339
2.93333,1.71212,0.708021
2.93333,1.73737,0.726026
2.93333,1.76263,0.743323
2.93333,1.78788,0.759889
2.93333,1.81313,0.775709
2.93333,1.83838,0.790774
2.93333,1.86364,0.80508
2.93333,1.88889,0.818633
2.93333,1.91414,0.831441
2.93333,1.93939,0.843518
2.93333,1.96465,0.85488
2.93333,1.9899,0.865548
2.93333,2.01515,0.875547
2.93333,2.0404,0.884901
2.93333,2.06566,0.893637
2.93333,2.09091,0.901783
2.93333,2.11616,0.909369
2.93333,2.14141,0.916424
2.93333,2.16667,0.922976
2.93333,2.19192,0.929054
2.93333,2.21717,0.934686
2.93333,2.24242,0.9399
2.93333,2.26768,0.944722
2.93333,2.29293,0.949179
2.93333,2.31818,0.953294
2.93333,2.34343,0.957091
2.93333,2.36869,0.960591
2.93333,2.39394,0.963817
2.93333,2.41919,0.966789
2.93333,2.44444,0.969523
2.93333,2.4697,0.97204
2.93333,2.49495,0.974354
2.93333,2.5202,0.976481
2.93333,2.54545,0.978435
2.93333,2.57071,0.980231
2.93333,2.59596,0.981879
2.93333,2.62121,0.983393
2.93333,2.64646,0.984782
2.93333,2.67172,0.986056
2.93333,2.69697,0.987226
2.93333,2.72222,0.988298
2.93333,2.74747,0.989281
2.93333,2.77273,0.990183
2.93333,2.79798,0.991009
2.93333,2.82323,0.991766
2.93333,2.84848,0.99246
2.93333,2.87374,0.993096
2.93333,2.89899,0.993679
2.93333,2.92424,0.994213
2.93333,2.94949,0.994702
2.93333,2.97475,0.99515
2.93333,3,0.99556
2.97778,0.5,0.0326519
2.97778,0.525253,0.0355748
2.97778,0.550505,0.0387488
2.97778,0.575758,0.0421937
2.97778,0.60101,0.0459302
2.97778,0.626263,0.0499803
2.97778,0.651515,0.0543672
2.97778,0.676768,0.0591152
2.97778,0.70202,0.0642497
2.97778,0.727273,0.069797
2.97778,0.752525,0.0757846
2.97778,0.777778,0.0822403
2.97778,0.80303,0.0891929
2.97778,0.828283,0.0966714
2.97778,0.853535,0.104705
2.97778,0.878788,0.113322
2.97778,0.90404,0.122551
2.97778,0.929293,0.13242
2.97778,0.954545,0.142954
2.97778,0.979798,0.154177
2.97778,1.00505,0.166111
2.97778,1.0303,0.178773
2.97778,1.05556,0.192177
2.97778,1.08081,0.206334
2.97778,1.10606,0.221249
2.97778,1.13131,0.236919
2.97778,1.15657,0.253339
2.97778,1.18182,0.270493
2.97778,1.20707,0.28836
2.97778,1.23232,0.306911
2.97778,1.25758,0.326108
2.97778,1.28283,0.345907
2.97778,1.30808,0.366254
2.97778,1.33333,0.38709
2.97778,1.35859,0.408348
2.97778,1.38384,0.429954
2.97778,1.40909,0.45183
2.97778,1.43434,0.473894
2.97778,1.4596,0.496061
2.97778,1.48485,0.518243
2.97778,1.5101,0.540353
2.97778,1.53535,0.562306
2.97778,1.56061,0.584017
2.97778,1.58586,0.605407
2.97778,1.61111,0.626401
2.97778,1.63636,0.646929
2.97778,1.66162,0.666929
2.97778,1.68687,0.686345
2.97778,1.71212,0.70513
2.97778,1.73737,0.723244
2.97778,1.76263,0.740654
2.97778,1.78788,0.757336
2.97778,1.81313,0.773274
2.97778,1.83838,0.788457
2.97778,1.86364,0.802883
2.97778,1.88889,0.816554
2.97778,1.91414,0.829478
2.97778,1.93939,0.841668
2.97778,1.96465,0.853141
2.97778,1.9899,0.863917
2.97778,2.01515,0.874019
2.97778,2.0404,0.883473
2.97778,2.06566,0.892304
2.97778,2.09091,0.900542
2.97778,2.11616,0.908214
2.97778,2.14141,0.91535
2.97778,2.16667,0.921978
2.97778,2.19192,0.928129
2.97778,2.21717,0.933829
2.97778,2.24242,0.939107
2.97778,2.26768,0.94399
2.97778,2.29293,0.948502
2.97778,2.31818,0.952669
2.97778,2.34343,0.956514
2.97778,2.36869,0.96006
2.97778,2.39394,0.963328
2.97778,2.41919,0.966338
2.97778,2.44444,0.969109
2.97778,2.4697,0.971658
2.97778,2.49495,0.974003
2.97778,2.5202,0.976158
2.97778,2.54545,0.978139
2.97778,2.57071,0.979959
2.97778,2.59596,0.981629
2.97778,2.62121,0.983164
2.97778,2.64646,0.984571
2.97778,2.67172,0.985863
2.97778,2.69697,0.987049
2.97778,2.72222,0.988135
2.97778,2.74747,0.989132
2.97778,2.77273,0.990046
2.97778,2.79798,0.990884
2.97778,2.82323,0.991652
2.97778,2.84848,0.992355
2.97778,2.87374,0.993
2.97778,2.89899,0.993591
2.97778,2.92424,0.994132
2.97778,2.94949,0.994628
2.97778,2.97475,0.995082
2.97778,3,0.995498
3.02222,0.5,0.0322143
3.02222,0.525253,0.0350995
3.02222,0.550505,0.0382328
3.02222,0.575758,0.0416338
3.02222,0.60101,0.045323
3.02222,0.626263,0.0493224
3.02222,0.651515,0.0536548
3.02222,0.676768,0.0583444
3.02222,0.70202,0.0634164
3.02222,0.727273,0.0688971
3.02222,0.752525,0.0748137
3.02222,0.777778,0.081194
3.02222,0.80303,0.0880666
3.02222,0.828283,0.0954605
3.02222,0.853535,0.103405
3.02222,0.878788,0.111928
3.02222,0.90404,0.12106
3.02222,0.929293,0.130826
3.02222,0.954545,0.141254
3.02222,0.979798,0.152368
3.02222,1.00505,0.164188
3.02222,1.0303,0.176735
3.02222,1.05556,0.190022
3.02222,1.08081,0.20406
3.02222,1.10606,0.218856
3.02222,1.13131,0.234408
3.02222,1.15657,0.25071
3.02222,1.18182,0.26775
3.02222,1.20707,0.285507
3.02222,1.23232,0.303953
3.02222,1.25758,0.323051
3.02222,1.28283,0.342759
3.02222,1.30808,0.363024
3.02222,1.33333,0.383787
3.02222,1.35859,0.404984
3.02222,1.38384,0.42654
3.02222,1.40909,0.448379
3.02222,1.43434,0.470419
3.02222,1.4596,0.492575
3.02222,1.48485,0.514761
3.02222,1.5101,0.536888
3.02222,1.53535,0.558871
3.02222,1.56061,0.580625
3.02222,1.58586,0.602071
3.02222,1.61111,0.623132
3.02222,1.63636,0.643737
3.02222,1.66162,0.663824
3.02222,1.68687,0.683336
3.02222,1.71212,0.702223
3.02222,1.73737,0.720444
3.02222,1.76263,0.737966
3.02222,1.78788,0.754764
3.02222,1.81313,0.77082
3.02222,1.83838,0.786122
3.02222,1.86364,0.800667
3.02222,1.88889,0.814456
3.02222,1.91414,0.827497
3.02222,1.93939,0.839801
3.02222,1.96465,0.851386
3.02222,1.9899,0.86227
3.02222,2.01515,0.872476
3.02222,2.0404,0.882029
3.02222,2.06566,0.890957
3.02222,2.09091,0.899286
3.02222,2.11616,0.907045
3.02222,2.14141,0.914263
3.02222,2.16667,0.92097
3.02222,2.19192,0.927193
3.02222,2.21717,0.932963
3.02222,2.24242,0.938305
3.02222,2.26768,0.943248
3.02222,2.29293,0.947817
3.02222,2.31818,0.952036
3.02222,2.34343,0.95593
3.02222,2.36869,0.959522
3.02222,2.39394,0.962832
3.02222,2.41919,0.965881
3.02222,2.44444,0.968689
3.02222,2.4697,0.971272
3.02222,2.49495,0.973647
3.02222,2.5202,0.975832
3.02222,2.54545,0.977839
3.02222,2.57071,0.979683
3.02222,2.59596,0.981376
3.02222,2.62121,0.982931
3.02222,2.64646,0.984358
3.02222,2.67172,0.985668
3.02222,2.69697,0.986869
3.02222,2.72222,0.987971
3.02222,2.74747,0.988981
3.02222,2.77273,0.989908
3.02222,2.79798,0.990757
3.02222,2.82323,0.991535
3.02222,2.84848,0.992249
3.02222,2.87374,0.992902
3.02222,2.89899,0.993501
3.02222,2.92424,0.99405
3.02222,2.94949,0.994553
3.02222,2.97475,0.995013
3.02222,3,0.995435
3.06667,0.5,0.0317824
3.06667,0.525253,0.0346303
3.06667,0.550505,0.0377234
3.06667,0.575758,0.041081
3.06667,0.60101,0.0447235
3.06667,0.626263,0.0486726
3.06667,0.651515,0.0529512
3.06667,0.676768,0.057583
3.06667,0.70202,0.0625933
3.06667,0.727273,0.068008
3.06667,0.752525,0.0738542
3.06667,0.777778,0.0801598
3.06667,0.80303,0.0869532
3.06667,0.828283,0.0942633
3.06667,0.853535,0.102119
3.06667,0.878788,0.11055
3.06667,0.90404,0.119584
3.06667,0.929293,0.129249
3.06667,0.954545,0.139571
3.06667,0.979798,0.150576
3.06667,1.00505,0.162284
3.06667,1.0303,0.174715
3.06667,1.05556,0.187885
3.06667,1.08081,0.201805
3.06667,1.10606,0.216481
3.06667,1.13131,0.231915
3.06667,1.15657,0.2481
3.06667,1.18182,0.265025
3.06667,1.20707,0.282671
3.06667,1.23232,0.301011
3.06667,1.25758,0.320009
3.06667,1.28283,0.339624
3.06667,1.30808,0.359806
3.06667,1.33333,0.380495
3.06667,1.35859,0.401628
3.06667,1.38384,0.423133
3.06667,1.40909,0.444933
3.06667,1.43434,0.466947
3.06667,1.4596,0.489091
3.06667,1.48485,0.511277
3.06667,1.5101,0.533419
3.06667,1.53535,0.55543
3.06667,1.56061,0.577226
3.06667,1.58586,0.598726
3.06667,1.61111,0.619852
3.06667,1.63636,0.640533
3.06667,1.66162,0.660705
3.06667,1.68687,0.680311
3.06667,1.71212,0.699299
3.06667,1.73737,0.717627
3.06667,1.76263,0.735261
3.06667,1.78788,0.752174
3.06667,1.81313,0.768347
3.06667,1.83838,0.783768
3.06667,1.86364,0.798432
3.06667,1.88889,0.81234
3.06667,1.91414,0.825497
3.06667,1.93939,0.837916
3.06667,1.96465,0.849613
3.06667,1.9899,0.860605
3.06667,2.01515,0.870916
3.06667,2.0404,0.880571
3.06667,2.06566,0.889595
3.06667,2.09091,0.898016
3.06667,2.11616,0.905862
3.06667,2.14141,0.913164
3.06667,2.16667,0.919949
3.06667,2.19192,0.926246
3.06667,2.21717,0.932085
3.06667,2.24242,0.937493
3.06667,2.26768,0.942497
3.06667,2.29293,0.947123
3.06667,2.31818,0.951395
3.06667,2.34343,0.955339
3.06667,2.36869,0.958977
3.06667,2.39394,0.96233
3.06667,2.41919,0.965419
3.06667,2.44444,0.968263
3.06667,2.4697,0.97088
3.06667,2.49495,0.973287
3.06667,2.5202,0.9755
3.06667,2.54545,0.977535
3.06667,2.57071,0.979403
3.06667,2.59596,0.98112
3.06667,2.62121,0.982696
3.06667,2.64646,0.984142
3.06667,2.67172,0.985469
3.06667,2.69697,0.986687
3.06667,2.72222,0.987804
3.06667,2.74747,0.988828
3.06667,2.77273,0.989768
3.06667,2.79798,0.990628
3.06667,2.82323,0.991418
3.06667,2.84848,0.992141
3.06667,2.87374,0.992804
3.06667,2.89899,0.993411
3.06667,2.92424,0.993967
3.06667,2.94949,0.994477
3.06667,2.97475,0.994943
3.06667,3,0.995371
3.11111,0.5,0.0313561
3.11111,0.525253,0.0341671
3.11111,0.550505,0.0372204
3.11111,0.575758,0.0405352
3.11111,0.60101,0.0441315
3.11111,0.626263,0.048031
3.11111,0.651515,0.0522563
3.11111,0.676768,0.056831
3.11111,0.70202,0.0617801
3.11111,0.727273,0.0671295
3.11111,0.752525,0.0729061
3.11111,0.777778,0.0791376
3.11111,0.80303,0.0858525
3.11111,0.828283,0.0930795
3.11111,0.853535,0.100848
3.11111,0.878788,0.109186
3.11111,0.90404,0.118124
3.11111,0.929293,0.127688
3.11111,0.954545,0.137905
3.11111,0.979798,0.148801
3.11111,1.00505,0.160397
3.11111,1.0303,0.172713
3.11111,1.05556,0.185767
3.11111,1.08081,0.199568
3.11111,1.10606,0.214125
3.11111,1.13131,0.22944
3.11111,1.15657,0.245508
3.11111,1.18182,0.262318
3.11111,1.20707,0.279852
3.11111,1.23232,0.298085
3.11111,1.25758,0.316983
3.11111,1.28283,0.336504
3.11111,1.30808,0.3566
3.11111,1.33333,0.377214
3.11111,1.35859,0.398282
3.11111,1.38384,0.419733
3.11111,1.40909,0.441492
3.11111,1.43434,0.463478
3.11111,1.4596,0.485607
3.11111,1.48485,0.507792
3.11111,1.5101,0.529947
3.11111,1.53535,0.551985
3.11111,1.56061,0.57382
3.11111,1.58586,0.595371
3.11111,1.61111,0.61656
3.11111,1.63636,0.637316
3.11111,1.66162,0.657573
3.11111,1.68687,0.67727
3.11111,1.71212,0.696358
3.11111,1.73737,0.714793
3.11111,1.76263,0.732538
3.11111,1.78788,0.749566
3.11111,1.81313,0.765856
3.11111,1.83838,0.781396
3.11111,1.86364,0.796179
3.11111,1.88889,0.810205
3.11111,1.91414,0.823479
3.11111,1.93939,0.836014
3.11111,1.96465,0.847822
3.11111,1.9899,0.858924
3.11111,2.01515,0.869341
3.11111,2.0404,0.879097
3.11111,2.06566,0.888218
3.11111,2.09091,0.896731
3.11111,2.11616,0.904666
3.11111,2.14141,0.912051
3.11111,2.16667,0.918916
3.11111,2.19192,0.925288
3.11111,2.21717,0.931197
3.11111,2.24242,0.936671
3.11111,2.26768,0.941736
3.11111,2.29293,0.94642
3.11111,2.31818,0.950747
3.11111,2.34343,0.954741
3.11111,2.36869,0.958425
3.11111,2.39394,0.961821
3.11111,2.41919,0.96495
3.11111,2.44444,0.967832
3.11111,2.4697,0.970483
3.11111,2.49495,0.972922
3.11111,2.5202,0.975165
3.11111,2.54545,0.977226
3.11111,2.57071,0.97912
3.11111,2.59596,0.98086
3.11111,2.62121,0.982457
3.11111,2.64646,0.983923
3.11111,2.67172,0.985268
3.11111,2.69697,0.986503
3.11111,2.72222,0.987635
3.11111,2.74747,0.988673
3.11111,2.77273,0.989625
3.11111,2.79798,0.990498
3.11111,2.82323,0.991298
3.11111,2.84848,0.992031
3.11111,2.87374,0.992703
3.11111,2.89899,0.993319
3.11111,2.92424,0.993883
3.11111,2.94949,0.994399
3.11111,2.97475,0.994873
3.11111,3,0.995306
3.15556,0.5,0.0309354
3.15556,0.525253,0.0337099
3.15556,0.550505,0.036724
3.15556,0.575758,0.0399963
3.15556,0.60101,0.0435471
3.15556,0.626263,0.0473975
3.15556,0.651515,0.05157
3.15556,0.676768,0.0560882
3.15556,0.70202,0.0609768
3.15556,0.727273,0.0662615
3.15556,0.752525,0.0719692
3.15556,0.777778,0.0781274
3.15556,0.80303,0.0847644
3.15556,0.828283,0.0919091
3.15556,0.853535,0.0995904
3.15556,0.878788,0.107837
3.15556,0.90404,0.116679
3.15556,0.929293,0.126143
3.15556,0.954545,0.136256
3.15556,0.979798,0.147043
3.15556,1.00505,0.158528
3.15556,1.0303,0.17073
3.15556,1.05556,0.183667
3.15556,1.08081,0.19735
3.15556,1.10606,0.211788
3.15556,1.13131,0.226984
3.15556,1.15657,0.242934
3.15556,1.18182,0.259629
3.15556,1.20707,0.277051
3.15556,1.23232,0.295176
3.15556,1.25758,0.313972
3.15556,1.28283,0.333398
3.15556,1.30808,0.353407
3.15556,1.33333,0.373944
3.15556,1.35859,0.394945
3.15556,1.38384,0.416341
3.15556,1.40909,0.438056
3.15556,1.43434,0.460012
3.15556,1.4596,0.482125
3.15556,1.48485,0.504307
3.15556,1.5101,0.526472
3.15556,1.53535,0.548534
3.15556,1.56061,0.570406
3.15556,1.58586,0.592007
3.15556,1.61111,0.613259
3.15556,1.63636,0.634087
3.15556,1.66162,0.654426
3.15556,1.68687,0.674215
3.15556,1.71212,0.693402
3.15556,1.73737,0.711942
3.15556,1.76263,0.729797
3.15556,1.78788,0.746939
3.15556,1.81313,0.763346
3.15556,1.83838,0.779005
3.15556,1.86364,0.793906
3.15556,1.88889,0.808051
3.15556,1.91414,0.821443
3.15556,1.93939,0.834093
3.15556,1.96465,0.846014
3.15556,1.9899,0.857226
3.15556,2.01515,0.867749
3.15556,2.0404,0.877607
3.15556,2.06566,0.886826
3.15556,2.09091,0.895433
3.15556,2.11616,0.903457
3.15556,2.14141,0.910927
3.15556,2.16667,0.917871
3.15556,2.19192,0.924318
3.15556,2.21717,0.930298
3.15556,2.24242,0.935839
3.15556,2.26768,0.940967
3.15556,2.29293,0.945708
3.15556,2.31818,0.950089
3.15556,2.34343,0.954134
3.15556,2.36869,0.957866
3.15556,2.39394,0.961306
3.15556,2.41919,0.964476
3.15556,2.44444,0.967395
3.15556,2.4697,0.970081
3.15556,2.49495,0.972552
3.15556,2.5202,0.974825
3.15556,2.54545,0.976914
3.15556,2.57071,0.978833
3.15556,2.59596,0.980596
3.15556,2.62121,0.982215
3.15556,2.64646,0.983701
3.15556,2.67172,0.985065
3.15556,2.69697,0.986316
3.15556,2.72222,0.987463
3.15556,2.74747,0.988516
3.15556,2.77273,0.989481
3.15556,2.79798,0.990366
3.15556,2.82323,0.991177
3.15556,2.84848,0.99192
3.15556,2.87374,0.992602
3.15556,2.89899,0.993226
3.15556,2.92424,0.993797
3.15556,2.94949,0.994321
3.15556,2.97475,0.994801
3.15556,3,0.995241
3.2,0.5,0.0305201
3.2,0.525253,0.0332587
3.2,0.550505,0.0362339
3.2,0.575758,0.0394643
3.2,0.60101,0.04297
3.2,0.626263,0.0467718
3.2,0.651515,0.0508922
3.2,0.676768,0.0553545
3.2,0.70202,0.0601832
3.2,0.727273,0.065404
3.2,0.752525,0.0710434
3.2,0.777778,0.077129
3.2,0.80303,0.0836889
3.2,0.828283,0.0907519
3.2,0.853535,0.0983469
3.2,0.878788,0.106503
3.2,0.90404,0.115249
3.2,0.929293,0.124614
3.2,0.954545,0.134623
3.2,0.979798,0.145303
3.2,1.00505,0.156677
3.2,1.0303,0.168765
3.2,1.05556,0.181585
3.2,1.08081,0.195151
3.2,1.10606,0.20947
3.2,1.13131,0.224547
3.2,1.15657,0.240379
3.2,1.18182,0.256958
3.2,1.20707,0.274267
3.2,1.23232,0.292283
3.2,1.25758,0.310976
3.2,1.28283,0.330306
3.2,1.30808,0.350227
3.2,1.33333,0.370685
